,id,studentID,task_id,score,content
0,3,2014012759,11,5,TIMESTAMP=1512979297933	USER=2014012759	TASK=11	ACTION=SESSION_ANNOTATION	INFO:	score=5
1,4,2014012759,4,3,TIMESTAMP=1512979763326	USER=2014012759	TASK=4	ACTION=SESSION_ANNOTATION	INFO:	score=3
2,5,2014012759,1,5,TIMESTAMP=1512980097791	USER=2014012759	TASK=1	ACTION=SESSION_ANNOTATION	INFO:	score=5
3,6,2014012759,7,5,TIMESTAMP=1512980459173	USER=2014012759	TASK=10	ACTION=SESSION_ANNOTATION	INFO:	score=5
4,7,2014012759,10,2,TIMESTAMP=1512980773932	USER=2014012759	TASK=10	ACTION=SESSION_ANNOTATION	INFO:	score=2
5,8,2014012759,8,5,TIMESTAMP=1512981132863	USER=2014012759	TASK=8	ACTION=SESSION_ANNOTATION	INFO:	score=1
6,9,2014012759,3,5,TIMESTAMP=1512981291606	USER=2014012759	TASK=3	ACTION=SESSION_ANNOTATION	INFO:	score=5
7,10,2014012759,2,3,TIMESTAMP=1512981507508	USER=2014012759	TASK=2	ACTION=SESSION_ANNOTATION	INFO:	score=3
8,11,2014012759,12,2,TIMESTAMP=1512981943276	USER=2014012759	TASK=12	ACTION=SESSION_ANNOTATION	INFO:	score=2
13,23,2016310023,7,4,TIMESTAMP=1513045639995	USER=2016310023	TASK=7	ACTION=SESSION_ANNOTATION	INFO:	score=4
14,24,2017213705,10,3,TIMESTAMP=1513045695061	USER=2017213705	TASK=10	ACTION=SESSION_ANNOTATION	INFO:	score=3
15,25,2016310023,1,5,TIMESTAMP=1513046078620	USER=2016310023	TASK=1	ACTION=SESSION_ANNOTATION	INFO:	score=5
16,26,2016310023,11,5,TIMESTAMP=1513046467976	USER=2016310023	TASK=11	ACTION=SESSION_ANNOTATION	INFO:	score=5
17,27,2017213705,3,2,TIMESTAMP=1513046497608	USER=2017213705	TASK=3	ACTION=SESSION_ANNOTATION	INFO:	score=2
18,28,2017213705,4,3,TIMESTAMP=1513047131194	USER=2017213705	TASK=4	ACTION=SESSION_ANNOTATION	INFO:	score=3
19,29,2016310023,2,4,TIMESTAMP=1513047523372	USER=2016310023	TASK=2	ACTION=SESSION_ANNOTATION	INFO:	score=4
20,30,2017213705,8,3,TIMESTAMP=1513047540271	USER=2017213705	TASK=8	ACTION=SESSION_ANNOTATION	INFO:	score=3
